Name:	vi
Umask:	0022
State:	S (sleeping)
Tgid:	3329
Ngid:	0
Pid:	3330
PPid:	2594
TracerPid:	0
Uid:	0	0	0	0
Gid:	0	0	0	0
FDSize:	256
Groups:	0
NStgid:	3329
NSpid:	3330
NSpgid:	3329
NSsid:	2593
Kthread:	0
VmPeak:	   25760 kB
VmSize:	   25692 kB
VmLck:	       0 kB
VmPin:	       0 kB
VmHWM:	   13568 kB
VmRSS:	   13568 kB
RssAnon:	    5760 kB
RssFile:	    7808 kB
RssShmem:	       0 kB
VmData:	    6096 kB
VmStk:	     132 kB
VmExe:	    3120 kB
VmLib:	    6484 kB
VmPTE:	      84 kB
VmSwap:	       0 kB
HugetlbPages:	       0 kB
CoreDumping:	0
THP_enabled:	1
untag_mask:	0xffffffffffffffff
Threads:	2
SigQ:	2/15588
SigPnd:	0000000000000000
ShdPnd:	0000000000000000
SigBlk:	fffffffe7ffbfeff
SigIgn:	0000000000003000
SigCgt:	000000016f8a4eff
CapInh:	0000000000000000
CapPrm:	000001ffffffffff
CapEff:	000001ffffffffff
CapBnd:	000001ffffffffff
CapAmb:	0000000000000000
NoNewPrivs:	0
Seccomp:	0
Seccomp_filters:	0
Speculation_Store_Bypass:	vulnerable
SpeculationIndirectBranch:	always enabled
Cpus_allowed:	7fff
Cpus_allowed_list:	0-14
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	1
nonvoluntary_ctxt_switches:	0
x86_Thread_features:
x86_Thread_features_locked:
